date,agency_name,value,source
2016-10-01,Bay Area Rapid Transit,11577219,NTD
2016-11-01,San Francisco Municipal Railway,13148624,NTD
2016-11-01,Bay Area Rapid Transit,10857637,NTD
2016-12-01,San Francisco Municipal Railway,12408511,NTD
2016-12-01,Bay Area Rapid Transit,10519461,NTD
2017-01-01,Bay Area Rapid Transit,10435125,NTD
2017-01-01,San Francisco Municipal Railway,12491384,NTD
2017-02-01,Bay Area Rapid Transit,10010250,NTD
2017-02-01,San Francisco Municipal Railway,12161922,NTD
2017-03-01,Bay Area Rapid Transit,11481857,NTD
2017-03-01,San Francisco Municipal Railway,13758474,NTD
2017-04-01,Bay Area Rapid Transit,10411343,NTD
2017-04-01,San Francisco Municipal Railway,13067069,NTD
2017-05-01,San Francisco Municipal Railway,13842214,NTD
2017-05-01,Bay Area Rapid Transit,11204729,NTD
2017-06-01,San Francisco Municipal Railway,13306002,NTD
2017-06-01,Bay Area Rapid Transit,11294073,NTD
2017-07-01,San Francisco Municipal Railway,13346451,NTD
2017-07-01,Bay Area Rapid Transit,10636947,NTD
2017-08-01,Bay Area Rapid Transit,11550812,NTD
2017-08-01,San Francisco Municipal Railway,14144943,NTD
2017-09-01,Bay Area Rapid Transit,10558083,NTD
2017-09-01,San Francisco Municipal Railway,13111349,NTD
2017-10-01,Bay Area Rapid Transit,11407728,NTD
2017-10-01,San Francisco Municipal Railway,13857779,NTD
2017-11-01,San Francisco Municipal Railway,13335513,NTD
2017-11-01,Bay Area Rapid Transit,10494253,NTD
2017-12-01,San Francisco Municipal Railway,13346451,NTD
2017-12-01,Bay Area Rapid Transit,9876526,NTD
2018-01-01,San Francisco Municipal Railway,13633615,NTD
2018-01-01,Bay Area Rapid Transit,10298004,NTD
2018-02-01,San Francisco Municipal Railway,12353981,NTD
2018-02-01,Bay Area Rapid Transit,9765804,NTD
2018-03-01,San Francisco Municipal Railway,13920779,NTD
2018-03-01,Bay Area Rapid Transit,10882375,NTD
2018-04-01,Bay Area Rapid Transit,10544177,NTD
2018-04-01,San Francisco Municipal Railway,13335513,NTD
2018-05-01,Bay Area Rapid Transit,11084564,NTD
2018-05-01,San Francisco Municipal Railway,13857779,NTD
2018-06-01,San Francisco Municipal Railway,13398514,NTD
2018-06-01,Bay Area Rapid Transit,10775239,NTD
2018-07-01,Bay Area Rapid Transit,10732983,NTD
2018-07-01,San Francisco Municipal Railway,13485536,NTD
2018-08-01,San Francisco Municipal Railway,14067943,NTD
2018-08-01,Bay Area Rapid Transit,11227125,NTD
2018-09-01,San Francisco Municipal Railway,12736777,NTD
2018-09-01,Bay Area Rapid Transit,10395283,NTD
2018-10-01,San Francisco Municipal Railway,14067943,NTD
2018-10-01,Bay Area Rapid Transit,11638526,NTD
2018-11-01,Bay Area Rapid Transit,9723261,NTD
2018-11-01,San Francisco Municipal Railway,13255945,NTD
2018-12-01,San Francisco Municipal Railway,13257571,NTD
2018-12-01,Bay Area Rapid Transit,9347390,NTD
2019-01-01,Bay Area Rapid Transit,10106508,NTD
2019-01-01,San Francisco Municipal Railway,13548774,NTD
2019-02-01,Bay Area Rapid Transit,9455714,NTD
2019-02-01,San Francisco Municipal Railway,12277595,NTD
2019-03-01,San Francisco Municipal Railway,13548774,NTD
2019-03-01,Bay Area Rapid Transit,10470980,NTD
2019-04-01,San Francisco Municipal Railway,13547149,NTD
2019-04-01,Bay Area Rapid Transit,10779665,NTD
2019-05-01,Bay Area Rapid Transit,10801006,NTD
2019-05-01,San Francisco Municipal Railway,13776739,NTD
2019-06-01,San Francisco Municipal Railway,13027980,NTD
2019-06-01,Bay Area Rapid Transit,10427019,NTD
2019-07-01,Bay Area Rapid Transit,10625438,NTD
2019-07-01,San Francisco Municipal Railway,12992445,NTD
2019-08-01,Bay Area Rapid Transit,10922850,NTD
2019-08-01,San Francisco Municipal Railway,13555075,NTD
2019-09-01,Bay Area Rapid Transit,10505807,NTD
2019-09-01,San Francisco Municipal Railway,12270646,NTD
2019-10-01,Bay Area Rapid Transit,11320625,NTD
2019-10-01,San Francisco Municipal Railway,13555075,NTD
2019-11-01,Bay Area Rapid Transit,9728758,NTD
2019-11-01,San Francisco Municipal Railway,12771830,NTD
2019-12-01,Bay Area Rapid Transit,9309469,NTD
2019-12-01,San Francisco Municipal Railway,12772575,NTD
2020-01-01,San Francisco Municipal Railway,13053890,NTD
